Title,Price,Neighbourhood,Image URL,Posting URL,Property Type,Size,Rooms
Appartement de 148m² en vente avec place...,1 660 000 DH,Belvédère,https://www.mubawab-media.com/ad/7/599/031F/m/IMG_2340-HDR_25960280_25963005_37101000.jpg,https://www.mubawab.ma/fr/pa/7599031/appartement-de-148m%C2%B2-en-vente-avec-place-de-parking-titr%C3%A9e-de-14m2-chraibi-immobilier,Appartement,"148
						m²",5 Pièces
Vente appartement 110m² avec place de par...,1 480 000 DH,Belvédère ,https://www.mubawab-media.com/ad/7/598/107F/m/DSC00661%20-%20Copie_37071968.jpg,https://www.mubawab.ma/fr/pa/7598107/vente-appartement-110m%C2%B2-avec-place-de-parking-15m%C2%B2,Appartement,"110
						m²",5 Pièces
Appartement de 99m² en vente avec place d...,1 130 000 DH,Belvédère ,https://www.mubawab-media.com/ad/7/713/385F/m/IMG_2340-HDR%20copie_48863543.jpg,https://www.mubawab.ma/fr/pa/7713385/appartement-de-99m%C2%B2-en-vente-avec-place-de-parking-de-13-m2,Appartement,"99
						m²",5 Pièces
"Apartement de 99m² en vente, Résidence El...",935 000 DH,Bernoussi ,https://www.mubawab-media.com/ad/7/276/866F/m/IMG_1354_13480153_13506889.jpg,https://www.mubawab.ma/fr/pa/7276866/apartement-de-99m%C2%B2-en-vente-r%C3%A9sidence-el-yassamine,Appartement,"99
						m²",4 Pièces
Appartement en vente à Racine 147m2 habit...,2 000 000 DH,Racine ,https://www.mubawab-media.com/ad/7/944/090F/m/photo_0_77946651.jpg,https://www.mubawab.ma/fr/a/7944090/appartement-en-vente-%C3%A0-racine-147m2-habitable-3-belles-chambres-chemin%C3%A9e-et-concierge,Appartement,"160
						m²",4 Pièces
Vente d'un bel appartement à Lissasfa. 2...,190 000 DH,Lissasfa ,https://www.mubawab-media.com/ad/7/890/175F/m/BABASSALAM-3_71794757_71794789.jpg,https://www.mubawab.ma/fr/pa/7890175/vente-d-un-bel-appartement-%C3%A0-lissasfa-2-chambres,Appartement,"54
						m²",2 Chambres
Appartement à vendre 96 m² 3 chambres Ain...,1 084 000 DH,Aïn Sebaâ,https://www.mubawab-media.com/ad/7/857/673F/m/2_6060696_66925939.jpg,https://www.mubawab.ma/fr/pa/7857673/appartement-%C3%A0-vendre-96-m%C2%B2-3-chambres-ain-sbaa-casablanca,Appartement,"93
						m²",4 Pièces
Appartement à vendre 81 m² 3 chambres Ain...,802 500 DH,Aïn Sebaâ ,https://www.mubawab-media.com/ad/7/782/821F/m/11%20%281%29_19005834_56803958.jpg,https://www.mubawab.ma/fr/pa/7782821/appartement-%C3%A0-vendre-81-m%C2%B2-3-chambres-ain-sbaa-casablanca,Appartement,"71
						m²",4 Pièces
Villa en vente à CALIFORNIE,10 000 000 DH,Californie ,https://www.mubawab-media.com/ad/7/798/402F/m/WhatsApp%20Image%202023-07-21%20at%2014.59.25_800x600_58787213.jpeg,https://www.mubawab.ma/fr/a/7798402/villa-en-vente-%C3%A0-californie,Villa,"600
						m²",5 Pièces
Villa en vente à AIN DIAB II,8 000 000 DH,Ain Diab ,https://www.mubawab-media.com/ad/7/937/233F/m/WhatsApp%20Image%202024-03-01%20at%2010.58.12_800x600_77100032.jpeg,https://www.mubawab.ma/fr/a/7937233/villa-en-vente-%C3%A0-ain-diab-ii,Villa,"450
						m²",5 Pièces
